Item Name,Listings,Price,Currency,Timestamp
Sticker | stavn (Gold) | Antwerp 2022,17,7.97,CDN,2023-08-28 10:29:27.969035
Sticker | JaCkz (Gold) | Antwerp 2022,13,11.84,CDN,2023-08-28 10:29:27.969035
Sticker | KSCERATO (Gold) | Antwerp 2022,26,14.56,CDN,2023-08-28 10:29:27.969035
Sticker | arT (Holo) | Antwerp 2022,30,13.3,CDN,2023-08-28 10:29:27.969035
Sticker | NiKo (Gold) | Antwerp 2022,12,84.73,CDN,2023-08-28 10:29:27.969035
Sticker | ropz (Gold) | Antwerp 2022,21,37.77,CDN,2023-08-28 10:29:27.969035
Sticker | apEX (Gold) | Antwerp 2022,15,9.98,CDN,2023-08-28 10:29:27.969035
Sticker | Jame (Gold) | Antwerp 2022,11,22.63,CDN,2023-08-28 10:29:27.969035
Sticker | nin9 (Gold) | Antwerp 2022,14,9.12,CDN,2023-08-28 10:29:27.969035
Sticker | ZywOo (Gold) | Antwerp 2022,13,85.87,CDN,2023-08-28 10:29:27.969035
Sticker | Jerry | Antwerp 2022,"15,071",0.03,CDN,2023-08-28 10:29:30.605953
Sticker | Tuurtle | Antwerp 2022,"26,030",0.03,CDN,2023-08-28 10:29:30.605953
Sticker | rigoN | Antwerp 2022,"22,988",0.03,CDN,2023-08-28 10:29:30.605953
Sticker | juanflatroo | Antwerp 2022,"20,424",0.03,CDN,2023-08-28 10:29:30.605953
Sticker | JOTA | Antwerp 2022,"24,336",0.03,CDN,2023-08-28 10:29:30.605953
Sticker | dycha | Antwerp 2022,"18,568",0.03,CDN,2023-08-28 10:29:30.605953
Sticker | misutaaa | Antwerp 2022,"23,950",0.03,CDN,2023-08-28 10:29:30.605953
Sticker | faveN | Antwerp 2022,"15,986",0.03,CDN,2023-08-28 10:29:30.605953
Sticker | NAF | Antwerp 2022,"15,294",0.03,CDN,2023-08-28 10:29:30.605953
Sticker | gxx- | Antwerp 2022,"17,340",0.03,CDN,2023-08-28 10:29:30.605953
Sticker | Snappi | Antwerp 2022,"16,837",0.03,CDN,2023-08-28 10:29:35.302383
Sticker | broky (Champion) | Antwerp 2022,"37,797",0.03,CDN,2023-08-28 10:29:35.302383
Sticker | degster | Antwerp 2022,"10,365",0.03,CDN,2023-08-28 10:29:35.302383
Sticker | Krimbo | Antwerp 2022,"14,550",0.03,CDN,2023-08-28 10:29:35.302383
Sticker | k0nfig | Antwerp 2022,"26,866",0.03,CDN,2023-08-28 10:29:35.302383
Sticker | Norwi | Antwerp 2022,"22,673",0.03,CDN,2023-08-28 10:29:35.302383
Sticker | sinnopsyy | Antwerp 2022,"25,117",0.03,CDN,2023-08-28 10:29:35.302383
Sticker | sjuush | Antwerp 2022,"18,899",0.03,CDN,2023-08-28 10:29:35.302383
Sticker | tiziaN | Antwerp 2022,"16,092",0.03,CDN,2023-08-28 10:29:35.302383
Sticker | aliStair | Antwerp 2022,"11,077",0.03,CDN,2023-08-28 10:29:35.302383
