Item Name,Listings,Price,Currency,Timestamp
Sticker | FL1T (Gold) | Berlin 2019,16,16.81,CDN,2023-08-30 06:30:12.144715
Sticker | DickStacy (Gold) | Berlin 2019,8,407.68,CDN,2023-08-30 06:30:12.144715
Sticker | ropz (Gold) | Berlin 2019,3,219.24,CDN,2023-08-30 06:30:12.144715
Sticker | ableJ (Gold) | Berlin 2019,14,12.91,CDN,2023-08-30 06:30:12.144715
Sticker | tarik (Gold) | Berlin 2019,10,31.75,CDN,2023-08-30 06:30:12.144715
Sticker | aizy (Gold) | Berlin 2019,7,15.02,CDN,2023-08-30 06:30:12.144715
Sticker | ableJ (Foil) | Berlin 2019,52,1.49,CDN,2023-08-30 06:30:12.144715
Sticker | Freeman | Berlin 2019,130,0.3,CDN,2023-08-30 06:30:12.144715
Sticker | kinqie (Gold) | Berlin 2019,10,44.09,CDN,2023-08-30 06:30:12.144715
Sticker | ShahZaM (Gold) | Berlin 2019,26,10.48,CDN,2023-08-30 06:30:12.144715
Sticker | dephh | Berlin 2019,"2,092",0.04,CDN,2023-08-30 06:30:14.868159
Sticker | loWel | Berlin 2019,"2,716",0.04,CDN,2023-08-30 06:30:14.868159
Sticker | Aerial | Berlin 2019,"2,162",0.04,CDN,2023-08-30 06:30:14.868159
Sticker | RpK | Berlin 2019,"3,844",0.04,CDN,2023-08-30 06:30:14.868159
Sticker | qikert | Berlin 2019,"1,900",0.04,CDN,2023-08-30 06:30:14.868159
Sticker | Rickeh | Berlin 2019,"2,476",0.04,CDN,2023-08-30 06:30:14.868159
Sticker | ShahZaM | Berlin 2019,"1,842",0.04,CDN,2023-08-30 06:30:14.868159
Sticker | Lekr0 | Berlin 2019,"2,559",0.04,CDN,2023-08-30 06:30:14.868159
Sticker | jkaem | Berlin 2019,"2,078",0.04,CDN,2023-08-30 06:30:14.868159
Sticker | AZR | Berlin 2019,"2,561",0.05,CDN,2023-08-30 06:30:14.868159
Sticker | REZ | Berlin 2019,"1,669",0.05,CDN,2023-08-30 06:30:17.043941
Sticker | AdreN | Berlin 2019,"1,418",0.05,CDN,2023-08-30 06:30:17.043941
Sticker | allu | Berlin 2019,"1,448",0.05,CDN,2023-08-30 06:30:17.043941
Sticker | ANGE1 | Berlin 2019,"1,821",0.05,CDN,2023-08-30 06:30:17.043941
Sticker | Magisk | Berlin 2019,"1,867",0.05,CDN,2023-08-30 06:30:17.043941
Sticker | ALEX | Berlin 2019,"1,409",0.05,CDN,2023-08-30 06:30:17.043941
Sticker | DeadFox | Berlin 2019,"1,245",0.05,CDN,2023-08-30 06:30:17.043941
Sticker | nitr0 | Berlin 2019,"1,587",0.05,CDN,2023-08-30 06:30:17.043941
Sticker | Golden | Berlin 2019,"1,766",0.05,CDN,2023-08-30 06:30:17.043941
Sticker | SANJI | Berlin 2019,"1,462",0.05,CDN,2023-08-30 06:30:17.043941
Sticker | NBK- | Berlin 2019,"1,286",0.05,CDN,2023-08-30 06:30:19.291142
Sticker | sergej | Berlin 2019,"2,421",0.05,CDN,2023-08-30 06:30:19.291142
Sticker | CeRq | Berlin 2019,873,0.05,CDN,2023-08-30 06:30:19.291142
Sticker | ISSAA | Berlin 2019,"1,740",0.05,CDN,2023-08-30 06:30:19.291142
Sticker | Krad | Berlin 2019,921,0.05,CDN,2023-08-30 06:30:19.291142
Sticker | v4lde | Berlin 2019,"1,008",0.05,CDN,2023-08-30 06:30:19.291142
Sticker | Gratisfaction | Berlin 2019,773,0.05,CDN,2023-08-30 06:30:19.291142
Sticker | oskar | Berlin 2019,"1,449",0.05,CDN,2023-08-30 06:30:19.291142
Sticker | xseveN | Berlin 2019,"1,801",0.05,CDN,2023-08-30 06:30:19.291142
Sticker | Kjaerbye | Berlin 2019,495,0.05,CDN,2023-08-30 06:30:19.291142
Sticker | NAF | Berlin 2019,"2,115",0.06,CDN,2023-08-30 06:30:21.515346
Sticker | JaCkz | Berlin 2019,"1,067",0.06,CDN,2023-08-30 06:30:21.515346
Sticker | AmaNEk | Berlin 2019,991,0.06,CDN,2023-08-30 06:30:21.515346
Sticker | buster | Berlin 2019,"1,080",0.06,CDN,2023-08-30 06:30:21.515346
Sticker | xand | Berlin 2019,485,0.06,CDN,2023-08-30 06:30:21.515346
Sticker | apEX | Berlin 2019,"1,163",0.06,CDN,2023-08-30 06:30:21.515346
Sticker | ableJ | Berlin 2019,762,0.06,CDN,2023-08-30 06:30:21.515346
Sticker | EliGE | Berlin 2019,"1,445",0.06,CDN,2023-08-30 06:30:21.515346
Sticker | neaLaN | Berlin 2019,603,0.06,CDN,2023-08-30 06:30:21.515346
Sticker | erkaSt | Berlin 2019,288,0.06,CDN,2023-08-30 06:30:21.515346
Sticker | SicK | Berlin 2019,638,0.06,CDN,2023-08-30 06:30:24.716905
Sticker | Xyp9x | Berlin 2019,878,0.06,CDN,2023-08-30 06:30:24.716905
Sticker | yel | Berlin 2019,433,0.06,CDN,2023-08-30 06:30:24.716905
Sticker | yuurih | Berlin 2019,357,0.06,CDN,2023-08-30 06:30:24.716905
Sticker | flamie | Berlin 2019,"1,290",0.07,CDN,2023-08-30 06:30:24.716905
Sticker | gla1ve | Berlin 2019,"1,596",0.07,CDN,2023-08-30 06:30:24.716905
Sticker | svyat | Berlin 2019,754,0.07,CDN,2023-08-30 06:30:24.716905
Sticker | speed4k | Berlin 2019,475,0.07,CDN,2023-08-30 06:30:24.716905
Sticker | Aleksib | Berlin 2019,"1,037",0.07,CDN,2023-08-30 06:30:24.716905
Sticker | Jame | Berlin 2019,"1,067",0.07,CDN,2023-08-30 06:30:24.716905
Sticker | Sico | Berlin 2019,267,0.07,CDN,2023-08-30 06:30:27.944560
Sticker | t0rick | Berlin 2019,439,0.07,CDN,2023-08-30 06:30:27.944560
Sticker | chelo | Berlin 2019,710,0.07,CDN,2023-08-30 06:30:27.944560
Sticker | dupreeh | Berlin 2019,"1,187",0.07,CDN,2023-08-30 06:30:27.944560
Sticker | FL1T | Berlin 2019,357,0.07,CDN,2023-08-30 06:30:27.944560
Sticker | ottoNd | Berlin 2019,427,0.07,CDN,2023-08-30 06:30:27.944560
Sticker | shox | Berlin 2019,"1,552",0.07,CDN,2023-08-30 06:30:27.944560
Sticker | Keoz | Berlin 2019,314,0.07,CDN,2023-08-30 06:30:27.944560
Sticker | almazer | Berlin 2019,368,0.08,CDN,2023-08-30 06:30:27.944560
Sticker | JUGi | Berlin 2019,493,0.08,CDN,2023-08-30 06:30:27.944560
Sticker | kinqie | Berlin 2019,493,0.08,CDN,2023-08-30 06:30:30.105564
Sticker | fer | Berlin 2019,397,0.08,CDN,2023-08-30 06:30:30.105564
Sticker | Boombl4 | Berlin 2019,831,0.08,CDN,2023-08-30 06:30:30.105564
Sticker | xsepower | Berlin 2019,721,0.08,CDN,2023-08-30 06:30:30.105564
Sticker | DeStiNy | Berlin 2019,538,0.08,CDN,2023-08-30 06:30:30.105564
Sticker | Forester | Berlin 2019,332,0.08,CDN,2023-08-30 06:30:30.105564
Sticker | Ramz1kBO$$ | Berlin 2019,322,0.08,CDN,2023-08-30 06:30:30.105564
Sticker | Stewie2K | Berlin 2019,433,0.08,CDN,2023-08-30 06:30:30.105564
Sticker | LETN1 | Berlin 2019,727,0.08,CDN,2023-08-30 06:30:30.105564
Sticker | facecrack | Berlin 2019,273,0.09,CDN,2023-08-30 06:30:30.105564
Sticker | EspiranTo | Berlin 2019,125,0.09,CDN,2023-08-30 06:30:32.814038
Sticker | stanislaw | Berlin 2019,350,0.09,CDN,2023-08-30 06:30:32.814038
