Item Name,Listings,Price,Currency,Timestamp
Revolver Case,"33,472",2.73,CDN,2023-12-18 14:55:09.805145
Falchion Case,"27,154",1.53,CDN,2023-12-18 14:55:09.805148
Shadow Case,"26,098",1.42,CDN,2023-12-18 14:55:09.805149
Horizon Case,"54,200",1.40,CDN,2023-12-18 14:55:09.805149
Clutch Case,"134,333",0.82,CDN,2023-12-18 14:55:09.805150
Chroma Case,"8,547",4.07,CDN,2023-12-18 14:55:09.805150
Gamma Case,"31,928",3.23,CDN,2023-12-18 14:55:09.805151
Glove Case,"44,907",6.56,CDN,2023-12-18 14:55:09.805151
Spectrum Case,"19,810",3.62,CDN,2023-12-18 14:55:09.805151
Fracture Case,"325,052",0.81,CDN,2023-12-18 14:55:09.805152
Snakebite Case,"475,642",0.39,CDN,2023-12-18 14:55:13.020319
Recoil Case,"303,547",0.42,CDN,2023-12-18 14:55:13.020321
Fracture Case,"325,052",0.81,CDN,2023-12-18 14:55:13.020322
Clutch Case,"134,333",0.82,CDN,2023-12-18 14:55:13.020322
Revolution Case,"232,253",0.98,CDN,2023-12-18 14:55:13.020322
CS20 Case,"48,925",1.04,CDN,2023-12-18 14:55:13.020323
Prisma Case,"94,072",1.07,CDN,2023-12-18 14:55:13.020323
Prisma 2 Case,"117,095",1.18,CDN,2023-12-18 14:55:13.020324
Danger Zone Case,"129,875",1.28,CDN,2023-12-18 14:55:13.020324
Horizon Case,"54,200",1.40,CDN,2023-12-18 14:55:13.020324
Shadow Case,"26,099",1.42,CDN,2023-12-18 14:55:14.708941
Falchion Case,"27,154",1.53,CDN,2023-12-18 14:55:14.708944
Dreams & Nightmares Case,"238,368",1.55,CDN,2023-12-18 14:55:14.708945
Spectrum 2 Case,"75,458",2.45,CDN,2023-12-18 14:55:14.708945
Revolver Case,"33,452",2.82,CDN,2023-12-18 14:55:14.708945
Chroma 3 Case,"46,767",2.89,CDN,2023-12-18 14:55:14.708946
Gamma Case,"31,928",3.23,CDN,2023-12-18 14:55:14.708946
Gamma 2 Case,"45,101",3.24,CDN,2023-12-18 14:55:14.708947
Operation Wildfire Case,"15,480",3.33,CDN,2023-12-18 14:55:14.708947
Chroma 2 Case,"38,595",3.49,CDN,2023-12-18 14:55:14.708947
Spectrum Case,"19,810",3.62,CDN,2023-12-18 14:55:16.375573
Operation Vanguard Weapon Case,"4,521",3.99,CDN,2023-12-18 14:55:16.375576
Chroma Case,"8,547",4.07,CDN,2023-12-18 14:55:16.375576
Operation Phoenix Weapon Case,"19,473",4.51,CDN,2023-12-18 14:55:16.375577
Shattered Web Case,"4,789",5.89,CDN,2023-12-18 14:55:16.375577
Glove Case,"44,907",6.56,CDN,2023-12-18 14:55:16.375578
Operation Broken Fang Case,"6,076",7.18,CDN,2023-12-18 14:55:16.375578
Operation Riptide Case,"3,356",8.30,CDN,2023-12-18 14:55:16.375578
Operation Breakout Weapon Case,"32,306",8.78,CDN,2023-12-18 14:55:16.375579
Winter Offensive Weapon Case,"1,964",8.87,CDN,2023-12-18 14:55:16.375579
eSports 2014 Summer Case,"2,158",10.39,CDN,2023-12-18 14:55:17.511082
CS:GO Weapon Case 3,"2,276",10.46,CDN,2023-12-18 14:55:17.511084
