Item Name,Listings,Price,Currency,Timestamp
Sealed Graffiti | Broken Heart (Wire Blue),37,0.51,CDN,2023-08-30 12:32:12.617119
Sealed Graffiti | Little Crown (Jungle Green),49,0.29,CDN,2023-08-30 12:32:12.617119
Sealed Graffiti | Broken Heart (Tracer Yellow),60,0.4,CDN,2023-08-30 12:32:12.617119
Sealed Graffiti | Thoughtfull (Blood Red),46,0.17,CDN,2023-08-30 12:32:12.617119
Sealed Graffiti | BEEP (Wire Blue),135,0.11,CDN,2023-08-30 12:32:12.617119
Sealed Graffiti | Chef Kiss (Cash Green),65,0.16,CDN,2023-08-30 12:32:12.617119
Sealed Graffiti | Chef Kiss (War Pig Pink),125,0.19,CDN,2023-08-30 12:32:12.617119
Sealed Graffiti | Broken Heart (War Pig Pink),64,0.88,CDN,2023-08-30 12:32:12.617119
Sealed Graffiti | Silver Bullet (Frog Green),153,0.11,CDN,2023-08-30 12:32:12.617119
Sealed Graffiti | Bock Bock (Desert Amber),35,0.12,CDN,2023-08-30 12:32:12.617119
Sealed Graffiti | BEEP (Tiger Orange),220,0.1,CDN,2023-08-30 12:32:15.263607
Sealed Graffiti | BEEP (Dust Brown),112,0.1,CDN,2023-08-30 12:32:15.263607
Sealed Graffiti | Bock Bock (Battle Green),109,0.1,CDN,2023-08-30 12:32:15.263607
Sealed Graffiti | BEEP (Cash Green),189,0.1,CDN,2023-08-30 12:32:15.263607
Sealed Graffiti | BEEP (Desert Amber),166,0.1,CDN,2023-08-30 12:32:15.263607
Sealed Graffiti | BEEP (Brick Red),116,0.1,CDN,2023-08-30 12:32:15.263607
Sealed Graffiti | BEEP (Frog Green),184,0.1,CDN,2023-08-30 12:32:15.263607
Sealed Graffiti | Bock Bock (Monster Purple),63,0.1,CDN,2023-08-30 12:32:15.263607
Sealed Graffiti | Silver Bullet (Dust Brown),151,0.1,CDN,2023-08-30 12:32:15.263607
Sealed Graffiti | Silver Bullet (SWAT Blue),109,0.1,CDN,2023-08-30 12:32:15.263607
Sealed Graffiti | Bock Bock (Tiger Orange),68,0.11,CDN,2023-08-30 12:32:16.387777
Sealed Graffiti | Silver Bullet (Cash Green),150,0.11,CDN,2023-08-30 12:32:16.387777
Sealed Graffiti | BEEP (Wire Blue),135,0.11,CDN,2023-08-30 12:32:16.387777
Sealed Graffiti | Silver Bullet (Frog Green),153,0.11,CDN,2023-08-30 12:32:16.387777
Sealed Graffiti | Silver Bullet (Battle Green),155,0.11,CDN,2023-08-30 12:32:16.387777
Sealed Graffiti | BEEP (SWAT Blue),73,0.11,CDN,2023-08-30 12:32:16.387777
Sealed Graffiti | Silver Bullet (Jungle Green),166,0.11,CDN,2023-08-30 12:32:16.387777
Sealed Graffiti | Bock Bock (Dust Brown),182,0.11,CDN,2023-08-30 12:32:16.387777
Sealed Graffiti | Silver Bullet (Wire Blue),93,0.11,CDN,2023-08-30 12:32:16.387777
Sealed Graffiti | BEEP (Jungle Green),160,0.11,CDN,2023-08-30 12:32:16.387777
