Item Name,Listings,Price,Currency,Timestamp
Sealed Graffiti | Recoil PP-Bizon (Monster Purple),7,5.88,CDN,2023-08-30 12:35:44.357484
Sealed Graffiti | Recoil M4A4 (Dust Brown),14,1.56,CDN,2023-08-30 12:35:44.357484
Sealed Graffiti | Recoil UMP-45 (War Pig Pink),11,55.77,CDN,2023-08-30 12:35:44.357484
Sealed Graffiti | Recoil CZ-75 (Princess Pink),10,2.41,CDN,2023-08-30 12:35:44.357484
Sealed Graffiti | Recoil P90 (Tiger Orange),20,1.99,CDN,2023-08-30 12:35:44.357484
Sealed Graffiti | Recoil MP7 (War Pig Pink),18,4.64,CDN,2023-08-30 12:35:44.357484
Sealed Graffiti | Recoil AUG (Bazooka Pink),8,2.04,CDN,2023-08-30 12:35:44.357484
Sealed Graffiti | Recoil UMP-45 (Brick Red),4,15.56,CDN,2023-08-30 12:35:44.357484
Sealed Graffiti | Recoil M4A4 (Battle Green),16,1.4,CDN,2023-08-30 12:35:44.357484
Sealed Graffiti | Recoil M4A1-S (Bazooka Pink),14,2.81,CDN,2023-08-30 12:35:44.357484
Sealed Graffiti | Recoil MP7 (SWAT Blue),17,1.08,CDN,2023-08-30 12:35:46.020889
Sealed Graffiti | Recoil XM1014 (Shark White),16,1.11,CDN,2023-08-30 12:35:46.020889
Sealed Graffiti | Recoil MP7 (Wire Blue),12,1.16,CDN,2023-08-30 12:35:46.020889
Sealed Graffiti | Recoil MP7 (Dust Brown),20,1.19,CDN,2023-08-30 12:35:46.020889
Sealed Graffiti | Recoil MP7 (Monarch Blue),14,1.21,CDN,2023-08-30 12:35:46.020889
Sealed Graffiti | Recoil MAC-10 (Brick Red),25,1.21,CDN,2023-08-30 12:35:46.020889
Sealed Graffiti | Recoil MAC-10 (Dust Brown),18,1.22,CDN,2023-08-30 12:35:46.020889
Sealed Graffiti | Recoil MAC-10 (Battle Green),17,1.24,CDN,2023-08-30 12:35:46.020889
Sealed Graffiti | Recoil CZ-75 (Violent Violet),28,1.24,CDN,2023-08-30 12:35:46.020889
Sealed Graffiti | Recoil P90 (Jungle Green),18,1.27,CDN,2023-08-30 12:35:46.020889
Sealed Graffiti | Recoil P90 (Shark White),13,1.27,CDN,2023-08-30 12:36:00.113635
Sealed Graffiti | Recoil MP7 (Violent Violet),15,1.27,CDN,2023-08-30 12:36:00.113635
Sealed Graffiti | Recoil XM1014 (Monarch Blue),23,1.28,CDN,2023-08-30 12:36:00.113635
Sealed Graffiti | Recoil SG 553 (Brick Red),28,1.28,CDN,2023-08-30 12:36:00.113635
Sealed Graffiti | Recoil MP7 (Cash Green),25,1.28,CDN,2023-08-30 12:36:00.113635
Sealed Graffiti | Recoil AUG (Cash Green),15,1.26,CDN,2023-08-30 12:36:00.113635
Sealed Graffiti | Recoil Galil AR (Violent Violet),21,1.3,CDN,2023-08-30 12:36:00.113635
Sealed Graffiti | Recoil P90 (Monster Purple),14,1.31,CDN,2023-08-30 12:36:00.113635
Sealed Graffiti | Recoil MAC-10 (SWAT Blue),17,1.31,CDN,2023-08-30 12:36:00.113635
Sealed Graffiti | Recoil P90 (Desert Amber),23,1.31,CDN,2023-08-30 12:36:00.113635
Sealed Graffiti | Recoil MP9 (Desert Amber),23,1.31,CDN,2023-08-30 12:36:01.217061
Sealed Graffiti | Recoil Galil AR (Princess Pink),24,1.33,CDN,2023-08-30 12:36:01.217061
Sealed Graffiti | Recoil MP9 (Brick Red),32,1.33,CDN,2023-08-30 12:36:01.217061
Sealed Graffiti | Recoil MAC-10 (Tiger Orange),16,1.33,CDN,2023-08-30 12:36:01.217061
Sealed Graffiti | Recoil XM1014 (Blood Red),20,1.33,CDN,2023-08-30 12:36:01.217061
Sealed Graffiti | Recoil PP-Bizon (Dust Brown),20,1.33,CDN,2023-08-30 12:36:01.217061
Sealed Graffiti | Recoil XM1014 (Desert Amber),10,1.34,CDN,2023-08-30 12:36:01.217061
Sealed Graffiti | Recoil FAMAS (Battle Green),16,1.34,CDN,2023-08-30 12:36:01.217061
Sealed Graffiti | Recoil MP9 (Tiger Orange),12,1.35,CDN,2023-08-30 12:36:01.217061
Sealed Graffiti | Recoil P90 (Frog Green),15,1.38,CDN,2023-08-30 12:36:01.217061
Sealed Graffiti | Recoil SG 553 (Monster Purple),15,1.39,CDN,2023-08-30 12:36:02.321145
Sealed Graffiti | Recoil XM1014 (Princess Pink),16,1.39,CDN,2023-08-30 12:36:02.321145
Sealed Graffiti | Recoil SG 553 (Princess Pink),17,1.41,CDN,2023-08-30 12:36:02.321145
Sealed Graffiti | Recoil XM1014 (Tracer Yellow),16,1.41,CDN,2023-08-30 12:36:02.321145
Sealed Graffiti | Recoil MP7 (Monster Purple),31,1.41,CDN,2023-08-30 12:36:02.321145
Sealed Graffiti | Recoil CZ-75 (Desert Amber),21,1.41,CDN,2023-08-30 12:36:02.321145
Sealed Graffiti | Recoil XM1014 (Frog Green),10,1.41,CDN,2023-08-30 12:36:02.321145
Sealed Graffiti | Recoil M4A4 (Battle Green),16,1.4,CDN,2023-08-30 12:36:02.321145
Sealed Graffiti | Recoil FAMAS (SWAT Blue),15,1.42,CDN,2023-08-30 12:36:02.321145
Sealed Graffiti | Recoil XM1014 (Dust Brown),21,1.42,CDN,2023-08-30 12:36:02.321145
Sealed Graffiti | Recoil Galil AR (Monarch Blue),16,1.43,CDN,2023-08-30 12:36:03.441939
Sealed Graffiti | Recoil SG 553 (Bazooka Pink),14,1.44,CDN,2023-08-30 12:36:03.441939
Sealed Graffiti | Recoil PP-Bizon (Brick Red),17,1.44,CDN,2023-08-30 12:36:03.441939
Sealed Graffiti | Recoil Galil AR (Bazooka Pink),14,1.44,CDN,2023-08-30 12:36:03.441939
Sealed Graffiti | Recoil MAC-10 (Wire Blue),13,1.45,CDN,2023-08-30 12:36:03.441939
Sealed Graffiti | Recoil SG 553 (Blood Red),20,1.47,CDN,2023-08-30 12:36:03.441939
Sealed Graffiti | Recoil MAC-10 (Shark White),18,1.47,CDN,2023-08-30 12:36:03.441939
Sealed Graffiti | Recoil AUG (Desert Amber),14,1.47,CDN,2023-08-30 12:36:03.441939
Sealed Graffiti | Recoil MP7 (Blood Red),13,1.47,CDN,2023-08-30 12:36:03.441939
Sealed Graffiti | Recoil MAC-10 (Cash Green),14,1.47,CDN,2023-08-30 12:36:03.441939
Sealed Graffiti | Recoil MP7 (Blood Red),13,1.47,CDN,2023-08-30 12:36:05.565770
Sealed Graffiti | Recoil AUG (Frog Green),16,1.45,CDN,2023-08-30 12:36:05.565770
Sealed Graffiti | Recoil CZ-75 (Frog Green),18,1.47,CDN,2023-08-30 12:36:05.565770
Sealed Graffiti | Recoil SG 553 (Violent Violet),18,1.49,CDN,2023-08-30 12:36:05.565770
Sealed Graffiti | Recoil CZ-75 (Tracer Yellow),22,1.49,CDN,2023-08-30 12:36:05.565770
Sealed Graffiti | Recoil PP-Bizon (Tracer Yellow),18,1.49,CDN,2023-08-30 12:36:05.565770
Sealed Graffiti | Recoil AUG (Shark White),16,1.49,CDN,2023-08-30 12:36:05.565770
Sealed Graffiti | Recoil PP-Bizon (Bazooka Pink),15,1.49,CDN,2023-08-30 12:36:05.565770
Sealed Graffiti | Recoil CZ-75 (SWAT Blue),16,1.49,CDN,2023-08-30 12:36:05.565770
Sealed Graffiti | Recoil MP9 (Dust Brown),13,1.49,CDN,2023-08-30 12:36:05.565770
Sealed Graffiti | Recoil AUG (Monster Purple),13,1.49,CDN,2023-08-30 12:36:07.168770
Sealed Graffiti | Recoil CZ-75 (Tiger Orange),24,1.49,CDN,2023-08-30 12:36:07.168770
Sealed Graffiti | Recoil AUG (Tiger Orange),22,1.5,CDN,2023-08-30 12:36:07.168770
Sealed Graffiti | Recoil FAMAS (Dust Brown),14,1.5,CDN,2023-08-30 12:36:07.168770
Sealed Graffiti | Recoil Galil AR (SWAT Blue),15,1.5,CDN,2023-08-30 12:36:07.168770
Sealed Graffiti | Recoil M4A4 (Desert Amber),21,1.5,CDN,2023-08-30 12:36:07.168770
Sealed Graffiti | Recoil Galil AR (Jungle Green),20,1.52,CDN,2023-08-30 12:36:07.168770
Sealed Graffiti | Recoil MP9 (Tracer Yellow),14,1.52,CDN,2023-08-30 12:36:07.168770
Sealed Graffiti | Recoil AUG (Princess Pink),15,1.52,CDN,2023-08-30 12:36:07.168770
Sealed Graffiti | Recoil P90 (Bazooka Pink),17,1.52,CDN,2023-08-30 12:36:07.168770
Sealed Graffiti | Recoil SG 553 (Cash Green),13,1.53,CDN,2023-08-30 12:36:08.264662
Sealed Graffiti | Recoil AUG (War Pig Pink),19,1.53,CDN,2023-08-30 12:36:08.264662
Sealed Graffiti | Recoil P90 (Tracer Yellow),11,1.53,CDN,2023-08-30 12:36:08.264662
Sealed Graffiti | Recoil PP-Bizon (Shark White),12,1.54,CDN,2023-08-30 12:36:08.264662
Sealed Graffiti | Recoil MAC-10 (Violent Violet),11,1.55,CDN,2023-08-30 12:36:08.264662
Sealed Graffiti | Recoil FAMAS (Princess Pink),18,1.55,CDN,2023-08-30 12:36:08.264662
Sealed Graffiti | Recoil PP-Bizon (Tiger Orange),15,1.55,CDN,2023-08-30 12:36:08.264662
Sealed Graffiti | Recoil M4A4 (Dust Brown),14,1.56,CDN,2023-08-30 12:36:08.264662
Sealed Graffiti | Recoil XM1014 (Bazooka Pink),15,1.57,CDN,2023-08-30 12:36:08.264662
Sealed Graffiti | Recoil SG 553 (Frog Green),12,1.61,CDN,2023-08-30 12:36:08.264662
Sealed Graffiti | Recoil CZ-75 (Monarch Blue),14,1.61,CDN,2023-08-30 12:36:10.395613
Sealed Graffiti | Recoil M4A4 (Frog Green),17,1.61,CDN,2023-08-30 12:36:10.395613
Sealed Graffiti | Recoil CZ-75 (Wire Blue),16,1.61,CDN,2023-08-30 12:36:10.395613
Sealed Graffiti | Recoil M4A4 (Violent Violet),28,1.61,CDN,2023-08-30 12:36:10.395613
Sealed Graffiti | Recoil M4A4 (Shark White),23,1.62,CDN,2023-08-30 12:36:10.395613
Sealed Graffiti | Recoil MAC-10 (War Pig Pink),11,1.62,CDN,2023-08-30 12:36:10.395613
Sealed Graffiti | Recoil PP-Bizon (Blood Red),14,1.63,CDN,2023-08-30 12:36:10.395613
Sealed Graffiti | Recoil M4A4 (Princess Pink),23,1.63,CDN,2023-08-30 12:36:10.395613
Sealed Graffiti | Recoil M4A4 (Monster Purple),14,1.64,CDN,2023-08-30 12:36:10.395613
Sealed Graffiti | Recoil MP7 (Brick Red),11,1.61,CDN,2023-08-30 12:36:10.395613
Sealed Graffiti | Recoil P90 (SWAT Blue),12,1.64,CDN,2023-08-30 12:36:11.503478
Sealed Graffiti | Recoil CZ-75 (Bazooka Pink),12,1.64,CDN,2023-08-30 12:36:11.503478
Sealed Graffiti | Recoil P90 (Violent Violet),13,1.64,CDN,2023-08-30 12:36:11.503478
Sealed Graffiti | Recoil Galil AR (War Pig Pink),16,1.65,CDN,2023-08-30 12:36:11.503478
Sealed Graffiti | Recoil AUG (Violent Violet),10,1.65,CDN,2023-08-30 12:36:11.503478
Sealed Graffiti | Recoil SG 553 (Battle Green),13,1.65,CDN,2023-08-30 12:36:11.503478
Sealed Graffiti | Recoil Galil AR (Tiger Orange),14,1.65,CDN,2023-08-30 12:36:11.503478
Sealed Graffiti | Recoil PP-Bizon (Jungle Green),16,1.66,CDN,2023-08-30 12:36:11.503478
Sealed Graffiti | Recoil AUG (SWAT Blue),11,1.66,CDN,2023-08-30 12:36:11.503478
Sealed Graffiti | Recoil FAMAS (Wire Blue),15,1.67,CDN,2023-08-30 12:36:11.503478
Sealed Graffiti | Recoil SG 553 (Dust Brown),14,1.68,CDN,2023-08-30 12:36:13.153544
Sealed Graffiti | Recoil P90 (Dust Brown),11,1.68,CDN,2023-08-30 12:36:13.153544
Sealed Graffiti | Recoil Galil AR (Frog Green),13,1.69,CDN,2023-08-30 12:36:13.153544
Sealed Graffiti | Recoil CZ-75 (Shark White),17,1.69,CDN,2023-08-30 12:36:13.153544
