Item Name,Listings,Price,Currency,Timestamp
Sticker | Liazz (Gold) | Rio 2022,11,22.4,CDN,2023-08-30 06:11:37.913019
Sticker | KRIMZ (Gold) | Rio 2022,10,16.9,CDN,2023-08-30 06:11:37.913019
Sticker | neaLaN (Gold) | Rio 2022,15,6.02,CDN,2023-08-30 06:11:37.913019
Sticker | Ax1Le (Gold) | Rio 2022,6,43.64,CDN,2023-08-30 06:11:37.913019
Sticker | saffee (Holo) | Rio 2022,57,1.44,CDN,2023-08-30 06:11:37.913019
Sticker | roeJ (Holo) | Rio 2022,38,0.78,CDN,2023-08-30 06:11:37.913019
Sticker | ANNIHILATION (Gold) | Rio 2022,14,7.78,CDN,2023-08-30 06:11:37.913019
Sticker | Twistzz (Gold) | Rio 2022,9,35.78,CDN,2023-08-30 06:11:37.913019
Sticker | bLitz (Gold) | Rio 2022,12,6.94,CDN,2023-08-30 06:11:37.913019
Sticker | electronic (Gold) | Rio 2022,16,21.13,CDN,2023-08-30 06:11:37.913019
Sticker | Evil Geniuses | Rio 2022,"44,474",0.03,CDN,2023-08-30 06:11:41.634504
Sticker | BIG | Rio 2022,"63,042",0.03,CDN,2023-08-30 06:11:41.634504
Sticker | Grayhound Gaming | Rio 2022,"41,984",0.03,CDN,2023-08-30 06:11:41.634504
Sticker | IEM | Rio 2022,"152,981",0.03,CDN,2023-08-30 06:11:41.634504
Sticker | HexT | Rio 2022,"4,540",0.03,CDN,2023-08-30 06:11:41.634504
Sticker | qikert (Champion) | Rio 2022,"9,086",0.03,CDN,2023-08-30 06:11:41.634504
Sticker | maden | Rio 2022,"4,850",0.03,CDN,2023-08-30 06:11:41.634504
Sticker | GamerLegion | Rio 2022,"55,944",0.03,CDN,2023-08-30 06:11:41.634504
Sticker | FL1T (Champion) | Rio 2022,"12,798",0.03,CDN,2023-08-30 06:11:41.634504
Sticker | IHC Esports | Rio 2022,"54,960",0.03,CDN,2023-08-30 06:11:41.634504
Sticker | n0rb3r7 (Champion) | Rio 2022,"8,210",0.03,CDN,2023-08-30 06:11:44.825522
Sticker | k1to | Rio 2022,"9,559",0.03,CDN,2023-08-30 06:11:44.825522
Sticker | Bad News Eagles | Rio 2022,"57,289",0.03,CDN,2023-08-30 06:11:44.825522
Sticker | hampus | Rio 2022,"4,518",0.03,CDN,2023-08-30 06:11:44.825522
Sticker | OG | Rio 2022,"45,464",0.03,CDN,2023-08-30 06:11:44.825522
Sticker | w0nderful | Rio 2022,"4,155",0.03,CDN,2023-08-30 06:11:44.825522
Sticker | magixx | Rio 2022,"5,197",0.03,CDN,2023-08-30 06:11:44.825522
Sticker | Dycha | Rio 2022,"4,667",0.03,CDN,2023-08-30 06:11:44.825522
Sticker | fame (Champion) | Rio 2022,"10,118",0.03,CDN,2023-08-30 06:11:44.825522
Sticker | aliStair | Rio 2022,"3,611",0.03,CDN,2023-08-30 06:11:44.825522
Sticker | ENCE | Rio 2022,"31,900",0.03,CDN,2023-08-30 06:11:49.080847
