Item Name,Listings,Price,Currency,Timestamp
Sticker | G2 (Gold) | 2020 RMR,105,11.27,CDN,2023-08-30 06:28:55.404727
Sticker | Nemiga (Gold) | 2020 RMR,91,3.62,CDN,2023-08-30 06:28:55.404727
Sticker | OG (Gold) | 2020 RMR,178,2.9,CDN,2023-08-30 06:28:55.404727
Sticker | Liquid (Gold) | 2020 RMR,114,5.63,CDN,2023-08-30 06:28:55.404727
Sticker | Ninjas in Pyjamas (Gold) | 2020 RMR,159,3.08,CDN,2023-08-30 06:28:55.404727
Sticker | Evil Geniuses (Gold) | 2020 RMR,196,2.87,CDN,2023-08-30 06:28:55.404727
Sticker | FURIA (Gold) | 2020 RMR,194,5.71,CDN,2023-08-30 06:28:55.404727
Sticker | Astralis (Gold) | 2020 RMR,135,5.54,CDN,2023-08-30 06:28:55.404727
Sticker | Fnatic (Gold) | 2020 RMR,97,4.85,CDN,2023-08-30 06:28:55.404727
Sticker | Virtus.pro (Foil) | 2020 RMR,227,1.41,CDN,2023-08-30 06:28:55.404727
Sticker | Evil Geniuses | 2020 RMR,"277,803",0.03,CDN,2023-08-30 06:28:57.070824
Sticker | Vitality | 2020 RMR,"183,839",0.03,CDN,2023-08-30 06:28:57.070824
Sticker | Gen.G | 2020 RMR,"99,101",0.03,CDN,2023-08-30 06:28:57.070824
Sticker | Ninjas in Pyjamas | 2020 RMR,"154,837",0.03,CDN,2023-08-30 06:28:57.070824
Sticker | ESPADA | 2020 RMR,"102,939",0.03,CDN,2023-08-30 06:28:57.070824
Sticker | 100 Thieves | 2020 RMR,"141,963",0.03,CDN,2023-08-30 06:28:57.070824
Sticker | Heroic | 2020 RMR,"206,951",0.03,CDN,2023-08-30 06:28:57.070824
Sticker | BIG | 2020 RMR,"66,870",0.03,CDN,2023-08-30 06:28:57.070824
Sticker | OG | 2020 RMR,"39,960",0.03,CDN,2023-08-30 06:28:57.070824
Sticker | Renegades | 2020 RMR,"68,845",0.03,CDN,2023-08-30 06:28:57.070824
Sticker | FURIA | 2020 RMR,"143,485",0.03,CDN,2023-08-30 06:28:58.753034
Sticker | North | 2020 RMR,"85,618",0.04,CDN,2023-08-30 06:28:58.753034
Sticker | GODSENT | 2020 RMR,"39,876",0.04,CDN,2023-08-30 06:28:58.753034
Sticker | Liquid | 2020 RMR,"56,200",0.04,CDN,2023-08-30 06:28:58.753034
Sticker | Boom | 2020 RMR,"57,635",0.04,CDN,2023-08-30 06:28:58.753034
Sticker | Nemiga | 2020 RMR,"31,966",0.04,CDN,2023-08-30 06:28:58.753034
Sticker | Natus Vincere | 2020 RMR,"64,269",0.05,CDN,2023-08-30 06:28:58.753034
Sticker | Fnatic | 2020 RMR,"24,176",0.05,CDN,2023-08-30 06:28:58.753034
Sticker | Spirit | 2020 RMR,"49,349",0.05,CDN,2023-08-30 06:28:58.753034
Sticker | Astralis | 2020 RMR,"25,891",0.06,CDN,2023-08-30 06:28:58.753034
Sticker | Virtus.pro | 2020 RMR,"29,894",0.06,CDN,2023-08-30 06:29:00.928524
Sticker | G2 | 2020 RMR,"23,913",0.06,CDN,2023-08-30 06:29:00.928524
Sticker | FaZe | 2020 RMR,"35,720",0.08,CDN,2023-08-30 06:29:00.928524
Sticker | TYLOO | 2020 RMR,"23,161",0.16,CDN,2023-08-30 06:29:00.928524
Sticker | ESPADA (Holo) | 2020 RMR,"4,243",0.23,CDN,2023-08-30 06:29:00.928524
Sticker | Renegades (Holo) | 2020 RMR,"4,134",0.24,CDN,2023-08-30 06:29:00.928524
Sticker | 100 Thieves (Holo) | 2020 RMR,"8,759",0.24,CDN,2023-08-30 06:29:00.928524
Sticker | Evil Geniuses (Holo) | 2020 RMR,"8,715",0.25,CDN,2023-08-30 06:29:00.928524
Sticker | Ninjas in Pyjamas (Holo) | 2020 RMR,"5,808",0.25,CDN,2023-08-30 06:29:00.928524
