Item Name,Listings,Price,Currency,Timestamp
Sealed Graffiti | Question Mark (Violent Violet),35,0.37,CDN,2023-08-28 02:36:28.108681
Sealed Graffiti | Question Mark (Princess Pink),34,0.35,CDN,2023-08-28 02:36:28.108681
Sealed Graffiti | 1G (War Pig Pink),388,0.12,CDN,2023-08-28 02:36:28.108681
Sealed Graffiti | NT (Frog Green),85,0.14,CDN,2023-08-28 02:36:28.108681
Sealed Graffiti | Little EZ (Battle Green),54,0.15,CDN,2023-08-28 02:36:28.108681
Sealed Graffiti | Smarmy (Dust Brown),40,0.6,CDN,2023-08-28 02:36:28.108681
Sealed Graffiti | Oops (Blood Red),38,0.57,CDN,2023-08-28 02:36:28.108681
Sealed Graffiti | Choke (Princess Pink),16,0.43,CDN,2023-08-28 02:36:28.108681
Sealed Graffiti | Puke (Bazooka Pink),37,0.34,CDN,2023-08-28 02:36:28.108681
Sealed Graffiti | 1G (Jungle Green),270,0.1,CDN,2023-08-28 02:36:28.108681
Sealed Graffiti | Denied (Cash Green),195,0.1,CDN,2023-08-28 02:36:30.218089
Sealed Graffiti | Denied (Violent Violet),94,0.1,CDN,2023-08-28 02:36:30.218089
Sealed Graffiti | Uh Oh (Cash Green),186,0.1,CDN,2023-08-28 02:36:30.218089
Sealed Graffiti | Uh Oh (Jungle Green),171,0.1,CDN,2023-08-28 02:36:30.218089
Sealed Graffiti | Uh Oh (SWAT Blue),159,0.1,CDN,2023-08-28 02:36:30.218089
Sealed Graffiti | Okay (Frog Green),191,0.1,CDN,2023-08-28 02:36:30.218089
Sealed Graffiti | Uh Oh (Brick Red),193,0.1,CDN,2023-08-28 02:36:30.218089
Sealed Graffiti | Uh Oh (Frog Green),197,0.1,CDN,2023-08-28 02:36:30.218089
Sealed Graffiti | Denied (Monster Purple),81,0.1,CDN,2023-08-28 02:36:30.218089
Sealed Graffiti | Uh Oh (Tiger Orange),197,0.1,CDN,2023-08-28 02:36:30.218089
Sealed Graffiti | Uh Oh (Dust Brown),219,0.1,CDN,2023-08-28 02:36:35.429102
Sealed Graffiti | 1G (Tracer Yellow),257,0.1,CDN,2023-08-28 02:36:35.429102
Sealed Graffiti | Uh Oh (Desert Amber),426,0.1,CDN,2023-08-28 02:36:35.429102
Sealed Graffiti | Uh Oh (Bazooka Pink),92,0.1,CDN,2023-08-28 02:36:35.429102
Sealed Graffiti | Uh Oh (Battle Green),247,0.1,CDN,2023-08-28 02:36:35.429102
Sealed Graffiti | Denied (Wire Blue),284,0.1,CDN,2023-08-28 02:36:35.429102
Sealed Graffiti | Okay (Jungle Green),155,0.1,CDN,2023-08-28 02:36:35.429102
Sealed Graffiti | Okay (Dust Brown),143,0.1,CDN,2023-08-28 02:36:35.429102
Sealed Graffiti | Rly (Desert Amber),184,0.1,CDN,2023-08-28 02:36:35.429102
Sealed Graffiti | Denied (Dust Brown),104,0.1,CDN,2023-08-28 02:36:35.429102
Sealed Graffiti | Denied (SWAT Blue),148,0.1,CDN,2023-08-28 02:36:36.538403
Sealed Graffiti | Denied (Jungle Green),213,0.1,CDN,2023-08-28 02:36:36.538403
Sealed Graffiti | Okay (Monarch Blue),138,0.1,CDN,2023-08-28 02:36:36.538403
Sealed Graffiti | Uh Oh (Wire Blue),92,0.1,CDN,2023-08-28 02:36:36.538403
Sealed Graffiti | 1G (Cash Green),650,0.1,CDN,2023-08-28 02:36:36.538403
Sealed Graffiti | Okay (Desert Amber),180,0.1,CDN,2023-08-28 02:36:36.538403
Sealed Graffiti | 1G (Jungle Green),270,0.1,CDN,2023-08-28 02:36:36.538403
Sealed Graffiti | Okay (Cash Green),94,0.11,CDN,2023-08-28 02:36:36.538403
Sealed Graffiti | Uh Oh (Monarch Blue),113,0.11,CDN,2023-08-28 02:36:36.538403
Sealed Graffiti | Okay (War Pig Pink),132,0.11,CDN,2023-08-28 02:36:36.538403
Sealed Graffiti | Denied (Tiger Orange),164,0.11,CDN,2023-08-28 02:36:37.635575
Sealed Graffiti | Rly (Dust Brown),310,0.11,CDN,2023-08-28 02:36:37.635575
Sealed Graffiti | Okay (Bazooka Pink),71,0.11,CDN,2023-08-28 02:36:37.635575
Sealed Graffiti | Okay (Brick Red),88,0.11,CDN,2023-08-28 02:36:37.635575
Sealed Graffiti | Okay (Shark White),185,0.11,CDN,2023-08-28 02:36:37.635575
Sealed Graffiti | Rly (Battle Green),92,0.11,CDN,2023-08-28 02:36:37.635575
Sealed Graffiti | Rly (War Pig Pink),153,0.11,CDN,2023-08-28 02:36:37.635575
Sealed Graffiti | Rly (Cash Green),177,0.11,CDN,2023-08-28 02:36:37.635575
Sealed Graffiti | 1G (Monarch Blue),346,0.11,CDN,2023-08-28 02:36:37.635575
Sealed Graffiti | Okay (Tracer Yellow),241,0.11,CDN,2023-08-28 02:36:37.635575
Sealed Graffiti | Denied (Desert Amber),129,0.11,CDN,2023-08-28 02:36:38.727343
Sealed Graffiti | Uh Oh (Tracer Yellow),103,0.11,CDN,2023-08-28 02:36:38.727343
Sealed Graffiti | Okay (Monster Purple),72,0.11,CDN,2023-08-28 02:36:38.727343
Sealed Graffiti | Uh Oh (Princess Pink),79,0.11,CDN,2023-08-28 02:36:38.727343
Sealed Graffiti | Denied (Battle Green),71,0.11,CDN,2023-08-28 02:36:38.727343
Sealed Graffiti | 1G (Frog Green),214,0.11,CDN,2023-08-28 02:36:38.727343
Sealed Graffiti | Rly (Tiger Orange),153,0.11,CDN,2023-08-28 02:36:38.727343
Sealed Graffiti | Smooch (Frog Green),87,0.11,CDN,2023-08-28 02:36:38.727343
Sealed Graffiti | Okay (Battle Green),138,0.11,CDN,2023-08-28 02:36:38.727343
Sealed Graffiti | 1G (Wire Blue),340,0.11,CDN,2023-08-28 02:36:38.727343
Sealed Graffiti | Dead Now (Wire Blue),110,0.11,CDN,2023-08-28 02:36:39.814717
Sealed Graffiti | 1G (Shark White),107,0.11,CDN,2023-08-28 02:36:39.814717
